BuildingType,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFABuilding(s),PropertyGFAParking,PrimaryPropertyType,ENERGYSTARScore,SiteEUIWN(kBtu/sf),SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SourceEUIWN(kBtu/sf),SourceEUI(kBtu/sf),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),SteamUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,ComplianceStatus
Multifamily LR (1-4),47.61369,-122.34022,1917,3,0,21130,21130,0,Multifamily Housing,71,81.8,77.1,1727997,1629912,102,97.1,56960,194348,14356,1435564,0,76.8,3.6,Compliant
Multifamily MR (5-9),47.61374,-122.33983,1914,6,0,36880,36880,0,Multifamily Housing,89,58.6,56.3,2162224,2078133,91,87.9,141173,481683,1696,169571,1426879,86.1,2.3,Compliant
NonResidential,47.61362,-122.33959,1927,4,0,32356,32356,0,Financial Office,94,47.8,46,1546735,1487786,87.6,85.4,178405,608719,0,0,879068,48.4,1.5,Compliant
NonResidential,47.61798,-122.33974,1960,7,0,61180,48220,12960,Hotel,60,61.1,60.6,3738034,3708809,116,115.2,528374,1802812,19060,1905997,0,106,2.2,Compliant
NonResidential,47.61524,-122.33519,1978,5,0,43506,32256,11250,Office,52,102.6,101.7,3342287,3311262,202,203,525225,1792068,15192,1519194,0,85.5,2.6,Compliant
Multifamily HR (10+),47.61397,-122.33351,2008,27,1,501239,340214,161025,Multifamily Housing,35,49.3,48.3,14846341,14548587,110.1,108,2891147,9864594,46840,4683994,0,275.1,0.8,Compliant
Multifamily HR (10+),47.61297,-122.33263,1970,23,0,179745,140241,39504,Multifamily Housing,18,,63,,7651620,,155.5,1818037,6203142,14485,1448477,0,93.5,0.7,Compliant
Multifamily LR (1-4),47.66812,-122.39756,1949,3,0,159820,159820,0,Multifamily Housing,93,32.6,32.1,5217292,5124027,63,61.3,740507,2526610,25974,2597417,0,144.7,0.9,Compliant
Multifamily LR (1-4),47.66766,-122.4002,1968,3,0,60858,60858,0,Multifamily Housing,90,33.6,32.7,2044662,1987447,75.6,73.3,397295,1355572,6319,631875,0,37.2,0.6,Compliant
Multifamily LR (1-4),47.58163,-122.37355,1990,3,0,28033,28033,0,Multifamily Housing,,28.4,27.9,793630,777668,54,52.7,109533,373726,4039,403942,0,22.4,0.8,Compliant
Multifamily LR (1-4),47.5997,-122.30015,1986,3,0,39816,39816,0,Multifamily Housing,36,35.3,34.2,1404010,1360114,98.7,95.6,398627,1360114,0,0,0,3.6,0.1,Compliant
NonResidential,47.67572,-122.3285,1910,2,0,23931,23931,0,Worship Facility,64,25.3,23.7,605663,567284,41.5,39.3,57686,196826,3705,370459,0,20.2,0.8,Compliant
NonResidential,47.67491,-122.33316,1948,2,0,21393,21393,0,Worship Facility,31,47.2,44.4,1008857,950904,72.4,68.6,78548,268005,6829,682899,0,37,1.7,Not Compliant
Multifamily MR (5-9),47.59886,-122.32544,1915,6,0,75187,75187,0,Multifamily Housing,,93.3,91.5,7914878,7760788,144.6,142.7,662293,2259745,55010,5501043,0,298.2,4,Not Compliant
Multifamily MR (5-9),47.57298,-122.29456,2010,6,0,78005,63924,14081,Multifamily Housing,,28.7,28.2,1826676,1794968,65,63.9,365851,1248284,5467,546684,0,32.4,0.5,Compliant
Multifamily LR (1-4),47.57285,-122.29209,1956,2,0,20400,20400,0,Multifamily Housing,51,48.1,46.4,982610,949740,134.6,130.1,278353,949740,0,0,0,2.5,0.1,Compliant
NonResidential,47.57256,-122.29265,1990,2,0,47560,47560,0,Non-Refrigerated Warehouse,43,40.8,38.6,1940128,1833605,71.7,69.3,229742,783880,10497,1049725,0,57.8,1.2,Compliant
NonResidential,47.60897,-122.32507,2006,6,0,62334,51457,10877,Senior Care Community,100,46.7,45.3,2398891,2323960,106.9,103.6,482375,1645862,6781,678098,0,40.4,0.8,Account Requires Verification
Multifamily LR (1-4),47.654,-122.35481,1969,3,0,28296,28296,0,Multifamily Housing,84,28.5,28.1,805915,793945,79.7,78.6,232692,793945,0,0,0,2.1,0.1,Compliant
Multifamily LR (1-4),47.69799,-122.3282,1982,4,0,41664,41664,0,Multifamily Housing,90,22.7,22.2,946039,923341,63.6,62.1,270616,923341,0,0,0,2.5,0.1,Compliant
NonResidential,47.66159,-122.30441,1930,3,0,20960,20960,0,Residence Hall/Dormitory,,77.6,73.5,1626125,1541280,109.2,104.2,94843,323606,12177,1217674,0,65.5,3.1,Compliant
Multifamily MR (5-9),47.61562,-122.3339,2012,7,0,67403,67403,0,Multifamily Housing,22,79.6,77.5,5364696,5226676,125.9,123.7,477781,1630190,35965,3596486,0,195.4,2.9,Compliant
Multifamily HR (10+),47.61589,-122.33342,2008,37,0,517164,371539,145625,Multifamily Housing,100,20.1,20,8473378,8423837,52.1,52,2180777,7440811,9830,983027,0,72.1,0.2,Account Requires Verification
Multifamily MR (5-9),47.61631,-122.33518,1929,5,0,30180,30180,0,Multifamily Housing,,62.1,59.9,2360082,2275669,103,100.7,240796,821595,14541,1454074,0,79.4,2.6,Compliant
NonResidential,47.61679,-122.33619,1910,3,0,28800,28800,0,College/University,,17.8,17,513266,488409,45.6,43.7,124822,425892,625,62517,0,4.5,0.2,Compliant
NonResidential,47.61718,-122.33654,1957,2,0,21600,21600,0,K-12 School,41,57.9,55.8,1251411,1205143,106.2,104,164250,560422,6447,644721,0,35.7,1.7,Compliant
NonResidential,47.61687,-122.33533,1995,3,0,22860,22860,0,K-12 School,14,46.6,45.4,1065075,1037289,130.5,127.1,304012,1037289,0,0,0,2.8,0.1,Compliant
Multifamily LR (1-4),47.65434,-122.35044,1990,4,0,25490,25490,0,Multifamily Housing,84,28.8,28.2,734877,719976,80.7,79.1,211013,719976,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),47.53691,-122.27984,2010,7,0,387971,297636,90335,Multifamily Housing,96,34.3,33.9,10199609,10095607,78.1,77.5,2088654,7126487,29691,2969120,0,176.7,0.6,Compliant
Multifamily LR (1-4),47.66415,-122.28447,1966,3,0,25137,25137,0,Multifamily Housing,,28.2,27.4,709792,689394,79.1,76.8,202050,689394,0,0,0,1.8,0.1,Compliant
NonResidential,47.66516,-122.2738,1972,1,0,26366,26366,0,Worship Facility,69,35.1,33.2,926152,875010,59.9,57.2,99018,337850,5372,537159,0,29.4,1.1,Compliant
Multifamily LR (1-4),47.56937,-122.37183,1992,4,0,31236,31236,0,Multifamily Housing,90,27.3,27.1,854272,846880,76.6,75.9,248206,846880,0,0,0,2.3,0.1,Compliant
Multifamily MR (5-9),47.61565,-122.3135,2005,7,0,140759,140759,0,Multifamily Housing,94,30.7,29.9,4317098,4205038,75.4,73.9,1003099,3422574,7825,782462,0,50.7,0.4,Compliant
Multifamily LR (1-4),47.5536,-122.36338,1999,3,0,27119,27119,0,Multifamily Housing,,25.4,24.7,562219,547438,71.1,69.2,160445,547438,0,0,0,1.5,0.1,Compliant
NonResidential,47.54362,-122.2667,1965,2,0,21732,21732,0,Worship Facility,3,45.2,43.6,982853,948192,93.3,91.7,166848,569286,3789,378906,0,21.6,1,Compliant
Multifamily LR (1-4),47.54557,-122.27438,1961,3,0,43752,43752,0,Multifamily Housing,44,38.8,37.7,1494875,1452423,108.7,105.6,425681,1452423,0,0,0,3.9,0.1,Compliant
Multifamily LR (1-4),47.5459,-122.27507,1968,3,0,60270,52588,7682,Multifamily Housing,,25.9,25.4,1402077,1376918,72.4,71.1,403552,1376918,0,0,0,3.7,0.1,Compliant
Multifamily LR (1-4),47.54163,-122.27358,1968,4,0,160561,160561,0,Multifamily Housing,94,37.7,36.5,6056010,5855072,61.7,60.2,589677,2011979,38431,3843093,0,209.5,1.3,Compliant
Multifamily LR (1-4),47.53928,-122.27045,1969,4,0,34678,34678,0,Multifamily Housing,66,30.9,30.2,1072228,1045932,86.6,84.5,306545,1045933,0,0,0,2.8,0.1,Compliant
Multifamily LR (1-4),47.65388,-122.39196,1977,4,0,22394,17284,5110,Multifamily Housing,85,33.1,32.1,740733,718722,92.6,89.9,210645,718722,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),,,2007,6,0,145812,145812,0,Multifamily Housing,,44.4,43.8,5527746,5459367,91.9,91.1,938708,3202870,22565,2256497,0,128.4,0.9,Compliant
NonResidential,47.66835,-122.38886,1945,1,0,21060,21060,0,Mixed Use Property,,,,,,,,68794,234726,0,0,0,0.6,0,Not Compliant
NonResidential,47.6684,-122.38788,1960,4,0,20539,20539,0,Mixed Use Property,,73.7,73.5,1527589,1522119,159.1,158.8,283280,966552,5556,555567,0,32.1,1.6,Compliant
NonResidential,47.66304,-122.39169,1926,3,0,48560,48560,0,Other,,52.6,50.1,3143822,2998984,147.2,140.4,878952,2998984,0,0,0,8,0.2,Compliant
SPS-District K-12,47.67365,-122.26293,1958,1,0,38624,38624,0,K-12 School,86,34.3,32.5,1421576,1347091,65.7,63.2,201109,686183,6609,660909,0,36.9,1,Compliant
Multifamily MR (5-9),47.61927,-122.31786,1985,5,0,22874,22874,0,Multifamily Housing,,27.7,27.1,633606,618837,77.6,75.8,181371,618837,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.72098,-122.31228,1965,3,0,21469,21469,0,Multifamily Housing,64,28.4,28.4,609648,609648,79.5,79.5,178678,609648,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.72142,-122.31203,1984,4,0,50252,50252,0,Multifamily Housing,37,41.1,39.8,2062883,2002182,114.9,111.6,586806,2002181,0,0,0,5.3,0.1,Compliant
Multifamily LR (1-4),47.70847,-122.35593,1978,3,0,22824,20480,2344,Multifamily Housing,,29.3,29.1,599354,595621,81.9,81.4,174567,595621,0,0,0,1.6,0.1,Compliant
Multifamily LR (1-4),47.7064,-122.35574,1988,3,0,57338,43130,14208,Multifamily Housing,88,28.6,28.5,1235123,1230614,80.1,79.8,360672,1230614,0,0,0,3.3,0.1,Compliant
Multifamily MR (5-9),47.66085,-122.31244,1928,8,0,93502,93502,0,Multifamily Housing,96,32.9,31.9,3073370,2983201,65.9,63.7,472392,1611800,13714,1371401,0,77.1,0.8,Compliant
Multifamily LR (1-4),47.66112,-122.31285,1909,4,0,20260,20260,0,Multifamily Housing,,32,32,648617,648617,89.6,89.6,190099,648617,0,0,0,1.7,0.1,Compliant
NonResidential,47.66033,-122.31348,1900,3,0,32960,32960,0,Retail Store,86,25.2,25.2,831298,831298,70.6,70.6,243639,831298,0,0,0,2.2,0.1,Compliant
NonResidential,47.66097,-122.3139,1921,3,0,29636,29636,0,Other - Entertainment/Public Assembly,,92,87.1,2725445,2581050,136.3,131.2,197349,673354,19077,1907696,0,103.1,3.5,Compliant
NonResidential,47.66023,-122.31581,1930,3,0,20571,20571,0,Hotel,91,36.1,35.5,741803,730734,101,99.5,214166,730734,0,0,0,2,0.1,Compliant
Multifamily LR (1-4),47.65998,-122.31579,1956,4,0,23742,23742,0,Multifamily Housing,91,28.8,27.8,684770,660209,80.8,77.9,193496,660209,0,0,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.65909,-122.31691,1964,4,0,22344,16758,5586,Multifamily Housing,78,32.7,31.9,731490,711708,91.7,89.2,208590,711708,0,0,0,1.9,0.1,Compliant
Multifamily LR (1-4),47.65915,-122.31579,1981,3,0,24492,21176,3316,Multifamily Housing,70,30.2,29.1,639180,617277,84.5,81.6,180914,617277,0,0,0,1.6,0.1,Compliant
Multifamily MR (5-9),47.65893,-122.31634,1962,5,0,31075,31075,0,Multifamily Housing,99,22.8,22.1,707499,687884,63.7,62,201607,687883,0,0,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.65847,-122.3147,1925,3,0,28700,28700,0,Multifamily Housing,39,36.1,34.8,1035462,999983,101,97.6,293078,999984,0,0,0,2.7,0.1,Compliant
Multifamily LR (1-4),47.65848,-122.31397,1924,3,0,22542,22542,0,Multifamily Housing,97,28.7,28,647101,631180,62.3,60.7,118214,403348,2278,227832,0,13.2,0.6,Compliant
Multifamily LR (1-4),47.65874,-122.31395,1923,4,0,24680,24680,0,Multifamily Housing,,33.1,31.9,816138,787672,70,67.4,139920,477409,3103,310263,0,17.8,0.7,Compliant
Multifamily MR (5-9),47.65964,-122.31394,1928,8,0,63837,63837,0,Multifamily Housing,,42.6,41.8,2688111,2635309,91,88.6,472390,1611795,10235,1023514,0,58.7,0.9,Compliant
NonResidential,47.65926,-122.31241,1926,2,0,47992,47992,0,Worship Facility,19,68.7,64.4,3299418,3093382,106.4,101.7,273504,933196,21602,2160186,0,117.2,2.4,Compliant
Multifamily LR (1-4),47.65853,-122.3128,1916,3,0,22320,22320,0,Multifamily Housing,46,82.6,78.7,1752665,1669798,136.5,132.4,176576,602477,10673,1067321,0,58.3,2.6,Compliant
NonResidential,47.65711,-122.31409,1993,3,0,28572,21245,7327,Residence Hall/Dormitory,24,111.5,110.7,2453272,2434789,208.1,207.2,335337,1144171,12906,1290618,0,71.6,3.4,Compliant
Multifamily LR (1-4),47.65755,-122.31406,1964,4,0,26639,26639,0,Multifamily Housing,93,25.4,24.7,676158,659247,71.1,69.3,193214,659247,0,0,0,1.8,0.1,Compliant
Multifamily LR (1-4),47.65766,-122.31471,1963,4,0,34735,27671,7064,Multifamily Housing,77,31,29.9,857574,826402,86.8,83.6,242204,826402,0,0,0,2.2,0.1,Compliant
Multifamily LR (1-4),47.6573,-122.31474,1963,4,0,25568,25568,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.65698,-122.31491,1927,3,0,25904,25904,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
Multifamily LR (1-4),47.65807,-122.31713,1941,3,0,24548,24548,0,Multifamily Housing,95,30.2,29.4,740725,722359,84.5,82.4,211711,722359,0,0,0,1.9,0.1,Compliant
Multifamily MR (5-9),47.65769,-122.31702,1970,9,0,71827,53480,18347,Multifamily Housing,88,35.1,34,1876445,1816200,98.2,95.1,532298,1816200,0,0,0,4.8,0.1,Compliant
Multifamily MR (5-9),47.65972,-122.31807,2008,6,0,145350,104050,41300,Multifamily Housing,,23.8,23.3,3452688,3382022,62.8,61.7,907388,3096010,2860,286012,0,23.5,0.2,Compliant
Multifamily MR (5-9),47.66085,-122.31846,2004,7,0,169931,114503,55428,Multifamily Housing,92,28.7,28.1,3290758,3220367,80.5,78.7,943836,3220367,0,0,0,8.6,0.1,Compliant
Multifamily MR (5-9),47.65732,-122.31827,1998,6,0,69452,26120,43332,Multifamily Housing,88,46.4,45.5,3223324,3162254,106.5,105.5,671463,2291032,8712,871222,0,52.4,2,Compliant
Multifamily MR (5-9),47.65715,-122.31858,1999,6,0,73927,47791,26136,Multifamily Housing,100,23.3,23,1114712,1100586,65.3,64.5,322563,1100586,0,0,0,2.9,0.1,Compliant
Multifamily LR (1-4),47.70801,-122.3175,1969,4,0,29683,29683,0,Multifamily Housing,73,30.7,30,911586,890844,84,82.1,251386,857727,331,33117,0,4,0.1,Compliant
Multifamily MR (5-9),47.55694,-122.38652,2003,8,0,40791,40791,0,Multifamily Housing,,37.8,36.7,1676927,1628544,77.4,75.8,275865,941251,6873,687293,0,39,1,Not Compliant
Multifamily MR (5-9),47.69455,-122.35573,1971,5,0,56319,56319,0,Multifamily Housing,45,52.7,51,2968786,2872516,126.3,121.8,644136,2197792,6747,674725,0,41.7,0.7,Compliant
Multifamily LR (1-4),47.66965,-122.39489,1975,4,0,30948,30948,0,Multifamily Housing,93,21.5,21,664534,649758,60.1,58.8,190433,649758,0,0,0,1.7,0.1,Compliant
Multifamily LR (1-4),47.66927,-122.39485,1988,4,0,39319,30786,8533,Multifamily Housing,81,30.4,29.7,935117,915123,85,83.2,268207,915123,0,0,0,2.4,0.1,Compliant
Multifamily LR (1-4),47.57602,-122.38712,1984,4,0,41443,41443,0,Multifamily Housing,27,37.8,36.9,1566725,1530430,105.9,103.4,448544,1530430,0,0,0,4.1,0.1,Compliant
Multifamily LR (1-4),47.72971,-122.31089,1975,3,0,130680,130680,0,Multifamily Housing,16,28.2,27.2,3684455,3558952,78.9,76.2,1043069,3558951,0,0,0,9.5,0.1,Compliant
NonResidential,47.60817,-122.32654,1982,15,0,115775,84240,31535,Residence Hall/Dormitory,94,17.4,17,3051747,2973720,48.8,47.6,871547,2973720,0,0,0,7.9,0.1,Compliant
NonResidential,47.68752,-122.29852,2000,2,0,31386,31386,0,Worship Facility,27,50.7,49.3,1522094,1477670,98.5,96.6,225440,769203,7085,708468,0,39.7,1.3,Compliant
Campus,47.687,-122.30013,1989,3,0,21500,21500,0,K-12 School,45,65.8,63.5,6328774,6103494,127.2,124.8,935773,3192856,29106,2910638,0,163.1,7.6,Compliant
Multifamily MR (5-9),47.61255,-122.3239,1989,5,0,140778,96578,44200,Multifamily Housing,94,27.3,26.6,2636552,2567908,76.4,74.4,752611,2567908,0,0,0,6.9,0.1,Compliant
Multifamily LR (1-4),47.66085,-122.28577,1961,4,0,30834,30834,0,Multifamily Housing,97,23.4,22.6,675196,653181,65.5,63.3,191436,653181,0,0,0,1.7,0.1,Compliant
Multifamily MR (5-9),47.62479,-122.36444,2002,5,0,21536,21536,0,Multifamily Housing,,15.4,15.4,331591,331591,43.1,43.1,97184,331591,0,0,0,0.9,0,Account Requires Verification
Multifamily LR (1-4),47.70395,-122.33471,1988,4,0,47873,34572,13301,Multifamily Housing,,21,20.9,1005703,998626,58.8,58.4,292681,998626,0,0,0,2.7,0.1,Compliant
Multifamily LR (1-4),47.54192,-122.38682,1985,4,0,39581,39581,0,Multifamily Housing,94,20.7,20.1,818966,797255,57.9,56.4,233662,797255,0,0,0,2.1,0.1,Compliant
Multifamily LR (1-4),47.63785,-122.37352,1989,4,0,23177,23177,0,Multifamily Housing,,24.6,24,509518,496620,68.9,67.1,145551,496620,0,0,0,1.3,0.1,Compliant
Multifamily MR (5-9),47.63282,-122.34305,1991,5,0,54360,54360,0,Multifamily Housing,82,35.9,35,1629121,1587083,100.7,98.1,465148,1587083,0,0,0,4.2,0.1,Compliant
Multifamily LR (1-4),47.58143,-122.3751,1990,3,0,70207,70207,0,Multifamily Housing,30,52.2,49.4,3718302,3519101,71.1,68.2,195405,666722,28524,2852379,0,153.3,2.2,Compliant
NonResidential,47.64834,-122.33188,2012,2,1,84116,57619,26497,Office,56,53.6,53.6,3090356,3090356,148.5,148.5,889091,3033578,568,56778,0,11.1,0.2,Compliant
NonResidential,47.61337,-122.33995,1925,9,0,104000,104000,0,Hotel,30,72.5,72,7540930,7493114,147.4,147.9,1195293,4078340,9775,977466,2437308,192.4,1.8,Compliant
SPS-District K-12,47.57405,-122.30301,1971,1,0,55206,55206,0,K-12 School,55,37.2,35.2,2052341,1942761,79.6,76.2,363272,1239483,7033,703278,0,40.7,0.7,Compliant
NonResidential,47.57188,-122.29531,1981,3,0,78374,78374,0,Senior Care Community,97,58.9,58.2,3456850,3416911,165,163.1,1001439,3416910,0,0,0,9.1,0.1,Compliant
Multifamily LR (1-4),47.56874,-122.37178,1992,4,0,121037,81732,39305,Multifamily Housing,94,27.9,27.6,2283402,2255245,78.2,77.3,660974,2255245,0,0,0,6,0.1,Compliant
NonResidential,47.65742,-122.36736,2007,2,0,38784,38784,0,Mixed Use Property,,61.7,59.9,2075032,2015999,152.1,148.6,482902,1647662,3683,368337,0,24,0.6,Not Compliant
Multifamily LR (1-4),47.65346,-122.36987,1984,4,0,26568,26568,0,Multifamily Housing,99,23.2,22.4,616578,595093,65,62.7,174412,595093,0,0,0,1.6,0.1,Compliant
Multifamily MR (5-9),47.66772,-122.38276,2007,6,0,182494,182494,0,Multifamily Housing,97,29,28.7,5221801,5167100,60.5,60.1,903547,3082902,20842,2084198,0,118.9,0.7,Compliant
Multifamily MR (5-9),47.6679,-122.38309,2007,6,0,113462,113462,0,Multifamily Housing,93,29.3,28.9,3322121,3281646,64,63.6,632151,2156898,11247,1124748,0,65.5,0.6,Compliant
NonResidential,47.57383,-122.33046,1969,2,0,41790,41790,0,Social/Meeting Hall,,51.4,50.7,2145984,2119159,121.4,121.5,477955,1630781,4884,488378,0,30.3,0.7,Compliant
NonResidential,47.57411,-122.33715,1959,1,0,32192,32192,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",,89.5,87,4620235,4491618,147,144.4,458685,1565035,29266,2926584,0,159.6,5,Compliant
NonResidential,47.60542,-122.3364,1900,5,0,39960,39960,0,Office,76,42.4,41.4,1694818,1654570,97.1,96,351841,1200481,4541,454089,0,27.3,0.7,Compliant
NonResidential,47.60528,-122.33627,1900,5,0,33300,33300,0,Office,44,51.2,51,1611081,1604734,130.6,130.9,407700,1391072,2137,213662,0,15.1,0.5,Compliant
NonResidential,47.60721,-122.33451,1926,11,0,36240,36240,0,Hotel,96,70.3,67.1,2548917,2433479,102.4,98.5,133428,455257,5598,559757,1418465,106.4,2.9,Compliant
NonResidential,47.60781,-122.33186,1922,3,0,39320,32360,6960,Social/Meeting Hall,,91.3,88.8,3590094,3490713,145.9,143.2,286199,976512,8408,840828,1673373,136.2,4.2,Compliant
Multifamily MR (5-9),47.60639,-122.3303,1907,5,0,41452,41452,0,Multifamily Housing,97,44.5,44.3,1845493,1834972,66.3,65.8,134363,458446,13765,1376526,0,74.3,1.8,Compliant
NonResidential,47.60547,-122.33118,1908,5,0,41536,41536,0,Performing Arts,,401.9,401.9,16694640,16694640,1125.4,1125.4,4892919,16694640,0,0,0,44.6,1.1,Account Requires Verification
Multifamily LR (1-4),47.60511,-122.33241,1916,3,0,45320,45320,0,Multifamily Housing,,83.2,80.4,3769946,3642164,134.6,131.7,359001,1224912,24173,2417252,0,131.7,2.9,Compliant
NonResidential,47.60223,-122.32889,1909,6,0,35820,35820,0,Hotel,98,95.2,92.2,3409986,3301900,142.9,139.7,257419,878313,24236,2423587,0,131.1,3.7,Compliant
Multifamily LR (1-4),47.69073,-122.36125,2003,4,0,42984,35584,7400,Multifamily Housing,,39.3,38.7,1298539,1279052,101.8,100.2,329801,1125281,1538,153771,0,11.2,0.3,Compliant
NonResidential,47.56542,-122.38502,1922,2,0,33462,33462,0,K-12 School,62,68.2,64.4,3948976,3728834,89.2,84.9,167307,570852,31580,3157982,0,169.2,5.1,Compliant
NonResidential,47.56504,-122.38455,1965,3,0,49744,49744,0,K-12 School,83,53.2,49.8,2646780,2478660,70,66,113815,388335,20903,2090325,0,112.1,2.3,Compliant
NonResidential,47.56342,-122.38509,1923,2,0,37816,37816,0,Worship Facility,38,39.5,37.6,1505003,1434663,72.5,70.2,195446,666862,7678,767801,0,42.6,1.1,Compliant
NonResidential,47.5622,-122.38648,1926,2,0,23315,23315,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
NonResidential,47.56147,-122.38638,1930,2,0,20700,20700,0,Mixed Use Property,,210.7,208.8,4362343,4321543,287.5,285.4,229522,783128,35384,3538415,0,190,9.2,Not Compliant
Multifamily MR (5-9),47.56128,-122.38575,1979,9,0,82876,64602,18274,Multifamily Housing,64,55.1,53.8,3561633,3473683,128.2,124.8,739857,2524393,9493,949290,0,57.2,0.9,Compliant
Multifamily MR (5-9),47.56137,-122.38524,2008,7,1,142099,142099,0,Multifamily Housing,48,79.3,78.7,14065980,13955596,204,202.6,3564261,12161259,17943,1794336,0,127.8,0.9,Compliant
NonResidential,47.56263,-122.38196,1948,1,0,41521,28397,13124,Other - Recreation,,111.9,109.5,3225288,3155678,211.7,209.2,454412,1550453,16052,1605226,0,89.4,3.1,Compliant
NonResidential,47.56197,-122.38109,1946,2,0,25762,25762,0,Supermarket/Grocery Store,95,75.7,76.1,1950053,1959300,211.9,213,574238,1959300,0,0,0,5.2,0.2,Compliant
Multifamily MR (5-9),47.56141,-122.37967,2010,7,0,213016,166230,46786,Multifamily Housing,,37.4,37,5405654,5337697,75,74.5,863353,2945760,23919,2391937,0,134.9,0.8,Compliant
NonResidential,47.56245,-122.37805,1984,1,1,60270,47785,12485,Fitness Center/Health Club/Gym,,157.6,154.5,7528813,7382146,258.5,255.3,744941,2541740,48404,4840406,0,263.9,5.5,Compliant
NonResidential,47.56175,-122.37835,1981,3,0,43387,43387,0,Manufacturing/Industrial Plant,,56,55.9,2765274,2758206,143.5,143.3,700319,2389487,3687,368718,0,26,0.6,Compliant
Multifamily LR (1-4),47.56245,-122.37699,1960,2,0,23983,23983,0,Multifamily Housing,57,31.1,30.4,895514,875123,87.2,85.2,256484,875123,0,0,0,2.3,0.1,Compliant
Multifamily LR (1-4),47.56245,-122.37658,1963,4,0,29351,25891,3460,Multifamily Housing,82,25.9,25.2,670283,653314,72.5,70.7,191475,653314,0,0,0,1.7,0.1,Compliant
Multifamily MR (5-9),47.56162,-122.37655,2003,7,0,106976,85990,20986,Mixed Use Property,68,41.5,40.7,4067323,3993206,99.6,97.7,902252,3078484,9147,914722,0,56.8,0.7,Compliant
Multifamily LR (1-4),47.62117,-122.30226,1920,3,0,25475,25475,0,Multifamily Housing,87,46,44.3,1171175,1128250,61,59.2,54245,185084,9432,943166,0,50.6,2,Compliant
Multifamily LR (1-4),47.61971,-122.30287,1968,3,0,40779,40779,0,Multifamily Housing,70,32,32,1302998,1302998,89.5,89.5,381887,1302998,0,0,0,3.5,0.1,Compliant
Multifamily LR (1-4),47.64425,-122.36125,1965,3,0,38328,38328,0,Multifamily Housing,73,38,36.8,1170975,1134681,106.4,103.1,332556,1134681,0,0,0,3,0.1,Compliant
NonResidential,47.72178,-122.29498,1979,1,0,39350,39350,0,Mixed Use Property,,6.2,6.1,249826,245119,17.4,17.1,71840,245119,0,0,0,0.7,0,Account Requires Verification
Multifamily MR (5-9),47.72235,-122.29584,2008,6,0,193691,159277,34414,Multifamily Housing,94,38.2,37.7,5871370,5793914,86,84.6,1158218,3951840,18421,1842075,0,108.4,0.7,Compliant
NonResidential,47.72032,-122.29507,1949,1,0,22405,22405,0,Other,,150.3,149.7,3231753,3219276,250.9,251.1,338001,1153260,20660,2066015,0,112.8,5,Compliant
Multifamily MR (5-9),47.72082,-122.29195,1971,7,0,86283,86283,0,Multifamily Housing,59,45.7,44.2,3940444,3812922,110.6,106.8,872151,2975780,8371,837142,0,52.4,0.6,Compliant
Multifamily MR (5-9),47.71951,-122.29477,2001,6,0,57775,46489,11286,Multifamily Housing,,25.8,25.3,2275568,2230882,72.3,70.9,653834,2230882,0,0,0,6,0.1,Compliant
Multifamily MR (5-9),47.72226,-122.29316,2001,5,0,320739,227479,93260,Multifamily Housing,90,47,46.4,10410888,10275697,90.3,89.7,1521486,5191310,50844,5084385,0,283.9,1.2,Compliant
Multifamily LR (1-4),47.72008,-122.29031,1986,3,0,67624,50567,17057,Multifamily Housing,91,29.6,29,1495996,1467752,82.8,81.3,430174,1467752,0,0,0,3.9,0.1,Compliant
SPS-District K-12,47.72606,-122.28747,2013,1,0,32590,32590,0,K-12 School,91,30,28.8,976694,937734,53,51.8,117637,401378,5364,536356,0,29.6,0.9,Compliant
Multifamily LR (1-4),47.73279,-122.34851,1978,4,0,73234,73234,0,Multifamily Housing,80,28,27.9,1821126,1814614,78.4,78.2,531833,1814614,0,0,0,4.8,0.1,Compliant
Multifamily MR (5-9),47.61543,-122.35074,1988,5,0,145018,132358,12660,Multifamily Housing,36,38.5,38.1,2296696,2273572,107.7,106.7,666346,2273572,0,0,0,6.1,0,Compliant
NonResidential,47.552,-122.32262,1985,1,0,37500,37500,0,NA,,,,,,,,0,0,0,0,0,0,0,Not Compliant
NonResidential,47.60132,-122.30477,1990,2,0,39000,39000,0,Medical Office,37,64.7,64.4,2524223,2510585,163.9,163.5,626538,2137747,3728,372838,0,25.5,0.7,Compliant
